date,value,date1
20160101,10930,20160101
20160102,10318,20160102
20160103,10595,20160103
20160104,10972,20160104
20160105,7706,20160105
20160106,6756,20160106
20160107,9092,20160107
20160108,10551,20160108
20160109,9722,20160109
20160110,10913,20160110
20160111,11151,20160111
20160112,8186,20160112
20160113,6422,20160113
20160114,6337,20160114
20160115,11649,20160115
20160116,11652,20160116
20160117,10310,20160117
20160118,12043,20160118
20160119,7937,20160119
20160120,6476,20160120
20160121,9662,20160121
20160122,9570,20160122
20160123,9981,20160123
20160124,9331,20160124
20160125,9449,20160125
20160126,6773,20160126
20160127,6304,20160127
20160128,9355,20160128
20160129,10477,20160129
20160130,10148,20160130
20160131,10395,20160131
20160201,11261,20160201
20160202,8713,20160202
20160203,7299,20160203
20160204,10424,20160204
20160205,10795,20160205
20160206,11069,20160206
20160207,11602,20160207
20160208,11427,20160208
20160209,9095,20160209
20160210,7707,20160210
20160211,10767,20160211
20160212,12136,20160212
20160213,12812,20160213
20160214,12006,20160214
20160215,12528,20160215
20160216,10329,20160216
20160217,7818,20160217
20160218,11719,20160218
20160219,11683,20160219
20160220,12603,20160220
20160221,11495,20160221
20160222,13670,20160222
20160223,11337,20160223
20160224,10232,20160224
20160225,13261,20160225
20160226,13230,20160226
20160227,15535,20160227
20160228,16837,20160228
20160229,19598,20160229
20160301,14823,20160301
20160302,11622,20160302
20160303,19391,20160303
20160304,18177,20160304
20160305,19994,20160305
20160306,14723,20160306
20160307,15694,20160307
20160308,13248,20160308
20160309,9543,20160309
20160310,12872,20160310
20160311,13101,20160311
20160312,15053,20160312
20160313,12619,20160313
20160314,13749,20160314
20160315,10228,20160315
20160316,9725,20160316
20160317,14729,20160317
20160318,12518,20160318
20160319,14564,20160319
20160320,15085,20160320
20160321,14722,20160321
20160322,11999,20160322
20160323,9390,20160323
20160324,13481,20160324
20160325,14795,20160325
20160326,15845,20160326
20160327,15271,20160327
20160328,14686,20160328
20160329,11054,20160329
20160330,10395,20160330
